# The 1,000 most populous US places, for offline location matching.
# Population and coordinates originate with the US Census Bureau (a US government
# work, public domain); assembled via plotly/datasets (MIT). Facts only.
# Coordinates rounded to 4dp (~11m) — far finer than metro-level matching needs.
city,state,lat,lon,population
Abilene,TX,32.4487,-99.7331,120099
Addison,IL,41.9317,-87.989,37385
Akron,OH,41.0814,-81.519,198100
Alameda,CA,37.7652,-122.2416,76419
Albany,GA,31.5785,-84.1557,76185
Albany,NY,42.6526,-73.7562,98424
Albany,OR,44.6365,-123.1059,51583
Albuquerque,NM,35.0853,-106.6056,556495
Alexandria,LA,31.3113,-92.4451,48426
Alexandria,VA,38.8048,-77.0469,148892
Alhambra,CA,34.0953,-118.127,84577
Aliso Viejo,CA,33.5677,-117.7256,50175
Allen,TX,33.1032,-96.6706,92020
Allentown,PA,40.6084,-75.4902,118577
Alpharetta,GA,34.0754,-84.2941,62298
Altamonte Springs,FL,28.6611,-81.3656,42150
Altoona,PA,40.5187,-78.3947,45796
Amarillo,TX,35.222,-101.8313,196429
Ames,IA,42.0347,-93.62,61792
Anaheim,CA,33.8353,-117.9145,345012
Anchorage,AK,61.2181,-149.9003,300950
Anderson,IN,40.1053,-85.6803,55670
Ankeny,IA,41.7318,-93.6001,51567
Ann Arbor,MI,42.2808,-83.743,117025
Annapolis,MD,38.9784,-76.4922,38722
Antioch,CA,38.0049,-121.8058,107100
Apache Junction,AZ,33.415,-111.5496,37130
Apex,NC,35.7327,-78.8503,42214
Apopka,FL,28.6934,-81.5322,45587
Apple Valley,CA,34.5008,-117.1859,70924
Apple Valley,MN,44.7319,-93.2177,50201
Appleton,WI,44.2619,-88.4154,73596
Arcadia,CA,34.1397,-118.0353,57639
Arlington,TX,32.7357,-97.1081,379577
Arlington Heights,IL,42.0884,-87.9806,75994
Arvada,CO,39.8028,-105.0875,111707
Asheville,NC,35.5951,-82.5515,87236
Athens-Clarke County,GA,33.9519,-83.3576,119980
Atlanta,GA,33.749,-84.388,447841
Atlantic City,NJ,39.3643,-74.4229,39551
Attleboro,MA,41.9445,-71.2856,43886
Auburn,AL,32.6099,-85.4808,58582
Auburn,WA,47.3073,-122.2285,74860
Augusta-Richmond County,GA,33.4735,-82.0105,197350
Aurora,CO,39.7294,-104.8319,345803
Aurora,IL,41.7606,-88.3201,199963
Austin,TX,30.2672,-97.7431,885400
Aventura,FL,25.9565,-80.1392,37199
Avondale,AZ,33.4356,-112.3496,78822
Azusa,CA,34.1336,-117.9076,47842
Bakersfield,CA,35.3733,-119.0187,363630
Baldwin Park,CA,34.0853,-117.9609,76635
Baltimore,MD,39.2904,-76.6122,622104
Barnstable Town,MA,41.7003,-70.3002,44641
Bartlett,IL,41.995,-88.1856,41679
Bartlett,TN,35.2045,-89.874,58226
Baton Rouge,LA,30.4583,-91.1403,229426
Battle Creek,MI,42.3212,-85.1797,51848
Bayonne,NJ,40.6687,-74.1143,65028
Baytown,TX,29.7355,-94.9774,75418
Beaumont,CA,33.9295,-116.9772,40481
Beaumont,TX,30.0802,-94.1266,117796
Beavercreek,OH,39.7092,-84.0633,45712
Beaverton,OR,45.4871,-122.8037,93542
Bedford,TX,32.844,-97.1431,48592
Bell Gardens,CA,33.9653,-118.1515,42889
Belleville,IL,38.5201,-89.984,42895
Bellevue,NE,41.1544,-95.9146,53663
Bellevue,WA,47.6104,-122.2007,133992
Bellflower,CA,33.8817,-118.117,77593
Bellingham,WA,48.7491,-122.4781,82631
Beloit,WI,42.5083,-89.0318,36888
Bend,OR,44.0582,-121.3153,81236
Bentonville,AR,36.3729,-94.2088,40167
Berkeley,CA,37.8716,-122.2727,116768
Berwyn,IL,41.8506,-87.7937,56758
Bethlehem,PA,40.6259,-75.3705,75018
Beverly,MA,42.5584,-70.88,40664
Billings,MT,45.7833,-108.5007,109059
Biloxi,MS,30.396,-88.8853,44820
Binghamton,NY,42.0987,-75.918,46444
Birmingham,AL,33.5207,-86.8025,212113
Bismarck,ND,46.8083,-100.7837,67034
Blacksburg,VA,37.2296,-80.4139,43609
Blaine,MN,45.1608,-93.2349,60407
Bloomington,IL,40.4842,-88.9937,78902
Bloomington,IN,39.1653,-86.5264,82575
Bloomington,MN,44.8408,-93.2983,86319
Blue Springs,MO,39.017,-94.2816,53294
Boca Raton,FL,26.3683,-80.1289,89407
Boise City,ID,43.6187,-116.2146,214237
Bolingbrook,IL,41.6986,-88.0684,73936
